Car_id,Bus_model
0CC4FE6538AE46A1,99BA9780D7CEBA09
9995958C6723C398,75556553A5F08E4C
9995958C6723C398,75556553A5F08E4C
757544D21157989D,75556553A5F08E4C
757544D21157989D,75556553A5F08E4C
1567756781AE8118,75556553A5F08E4C
1567756781AE8118,75556553A5F08E4C
28E8826EEEC1E427,5BD6A4EE56A73320
28CEBA210B8AB802,5BD6A4EE56A73320
25CC2D4C3F6CA748,5CE8EFB41E0515D7
885DA6E863740079,5BD6A4EE56A73320
806AE9256BD1535F,99BA9780D7CEBA09
7C03A0D1733AA34F,5CE8EFB41E0515D7
DCF1AA130CD56023,5BD6A4EE56A73320
195195BA7AB1B18D,99BA9780D7CEBA09
C1F9BC47373E8E71,368BB2EF1243A436
D89F641D013F1B1A,5CE8EFB41E0515D7
441DAA3D516A186E,368BB2EF1243A436
236219C7F92A02C1,368BB2EF1243A436
7CA6470ADCDE1736,368BB2EF1243A436
7760125C7D354A58,C364D5CFCE27A115
A41A1652F82C6710,99BA9780D7CEBA09
